   [process_num_80] 2025-04-19_09-05-54    772,934.03 ops/sec  AvgPwr: 1,007.43 W, StartPwr: 780 W, Diff: 227.43 W
   [process_num_80] 2025-04-19_12-22-02    776,477.17 ops/sec  AvgPwr: 1,024.00 W, StartPwr: 780 W, Diff: 244.00 W
   ---------------------------------------------------------------------------
   [process_num_88] 2025-04-18_20-11-09    799,294.44 ops/sec  AvgPwr: 1,014.55 W, StartPwr: 792 W, Diff: 222.55 W
   [process_num_88] 2025-04-18_23-27-09    797,218.07 ops/sec  AvgPwr: 1,006.36 W, StartPwr: 780 W, Diff: 226.36 W
   [process_num_88] 2025-04-19_02-43-00    800,149.12 ops/sec  AvgPwr: 1,012.80 W, StartPwr: 780 W, Diff: 232.80 W
   [process_num_88] 2025-04-19_05-58-50    800,244.68 ops/sec  AvgPwr: 1,023.55 W, StartPwr: 780 W, Diff: 243.55 W
   [process_num_88] 2025-04-19_09-14-54    799,864.70 ops/sec  AvgPwr: 1,018.96 W, StartPwr: 780 W, Diff: 238.96 W
   [process_num_88] 2025-04-19_12-31-01    798,297.65 ops/sec  AvgPwr: 1,022.93 W, StartPwr: 780 W, Diff: 242.93 W

🔸 workloadf
   [process_num_10] 2025-04-18_19-12-47    104,025.44 ops/sec  AvgPwr: 861.30 W, StartPwr: 792 W, Diff: 69.30 W
   [process_num_10] 2025-04-18_22-29-00    104,316.00 ops/sec  AvgPwr: 856.98 W, StartPwr: 792 W, Diff: 64.98 W
   [process_num_10] 2025-04-19_01-44-42    103,614.64 ops/sec  AvgPwr: 860.70 W, StartPwr: 792 W, Diff: 68.70 W
   [process_num_10] 2025-04-19_05-00-32    104,639.47 ops/sec  AvgPwr: 854.34 W, StartPwr: 792 W, Diff: 62.34 W
   [process_num_10] 2025-04-19_08-16-29    104,289.56 ops/sec  AvgPwr: 859.71 W, StartPwr: 780 W, Diff: 79.71 W
   [process_num_10] 2025-04-19_11-32-38    104,119.99 ops/sec  AvgPwr: 871.14 W, StartPwr: 792 W, Diff: 79.14 W
   [process_num_10] 2025-04-21_16-48-55    105,454.86 ops/sec  AvgPwr: 876.60 W, StartPwr: 804 W, Diff: 72.60 W
   ---------------------------------------------------------------------------
   [process_num_20] 2025-04-18_19-19-41    207,476.11 ops/sec  AvgPwr: 918.60 W, StartPwr: 792 W, Diff: 126.60 W
   [process_num_20] 2025-04-18_22-35-55    205,338.21 ops/sec  AvgPwr: 916.98 W, StartPwr: 792 W, Diff: 124.98 W
